tf1,tf2,mean_stability_pair,delta_depth_vs_base,auc_pair,delta_auc_vs_base,expected_additive,synergy
ZBTB49(+),NFATC2(+),0.6742041198501872,-0.042790262172284765,0.5965355805243446,-0.40346441947565537,0.0005617977528089,-0.40402621722846427
ZBTB49(+),SP2(+),0.6752808988764045,-0.04171348314606749,0.5995037453183522,-0.40049625468164785,0.0012640449438201,-0.40176029962546794
ZBTB49(+),CXXC1(+),0.6774344569288389,-0.03955992509363315,0.6008052434456929,-0.39919475655430714,0.00022471910112339998,-0.39941947565543057
KDM5B(+),ELK3(+),0.6754681647940075,-0.0415262172284645,0.5970224719101124,-0.4029775280898876,-0.001432584269663,-0.40154494382022465
KDM5B(+),REL(+),0.6711142322097379,-0.04588014981273414,0.5932209737827715,-0.4067790262172285,-0.00034644194756559994,-0.4064325842696629
KDM5B(+),DBP(+),0.6754681647940075,-0.0415262172284645,0.5977247191011236,-0.40227528089887643,9.363295880150001e-05,-0.4023689138576779
KDM5B(+),RUNX2(+),0.6793539325842697,-0.03764044943820233,0.6011610486891386,-0.39883895131086144,0.0015168539325843,-0.4003558052434457
KDM5B(+),FOXP4(+),0.6774812734082397,-0.039513108614232295,0.6003464419475656,-0.3996535580524344,-0.0006273408239700999,-0.3990262172284643
KDM5B(+),NFATC2(+),0.6728932584269662,-0.044101123595505776,0.5945505617977529,-0.4054494382022471,0.0006647940074906001,-0.4061142322097377
KDM5B(+),SP2(+),0.672565543071161,-0.044428838951311,0.5931086142322097,-0.40689138576779027,0.0013670411985018,-0.40825842696629205
KDM5B(+),CXXC1(+),0.6781367041198502,-0.038857677902621846,0.6002153558052434,-0.39978464419475657,0.0003277153558051,-0.4001123595505617
ELK3(+),REL(+),0.677621722846442,-0.039372659176030056,0.59937265917603,-0.40062734082397,-0.0027715355805244,-0.3978558052434456
ELK3(+),DBP(+),0.6708801498127341,-0.04611423220973787,0.590805243445693,-0.40919475655430704,-0.0023314606741573,-0.40686329588014974
ELK3(+),RUNX2(+),0.680430711610487,-0.03656367041198505,0.6034082397003746,-0.3965917602996254,-0.0009082397003745001,-0.3956835205992509
ELK3(+),FOXP4(+),0.6778089887640449,-0.03918539325842707,0.6006741573033707,-0.3993258426966293,-0.0030524344569289,-0.3962734082397004
ELK3(+),NFATC2(+),0.676685393258427,-0.040308988764044984,0.5983426966292136,-0.4016573033707864,-0.0017602996254682001,-0.3998970037453182
ELK3(+),SP2(+),0.6750468164794008,-0.04194756554307122,0.5984176029962547,-0.4015823970037453,-0.0010580524344570002,-0.4005243445692883
ELK3(+),CXXC1(+),0.6717696629213483,-0.04522471910112369,0.5927340823970038,-0.40726591760299624,-0.0020973782771537,-0.4051685393258425
REL(+),DBP(+),0.6725187265917603,-0.04447565543071175,0.5951872659176031,-0.40481273408239693,-0.0012453183520599,-0.40356741573033705
REL(+),RUNX2(+),0.6750468164794008,-0.04194756554307122,0.5963202247191011,-0.40367977528089893,0.00017790262172290002,-0.40385767790262184
REL(+),FOXP4(+),0.675187265917603,-0.04180711610486898,0.5975280898876405,-0.4024719101123595,-0.0019662921348315,-0.400505617977528
REL(+),NFATC2(+),0.6731273408239701,-0.04386704119850193,0.5956086142322098,-0.4043913857677902,-0.0006741573033707999,-0.40371722846441943
REL(+),SP2(+),0.6705056179775282,-0.04648876404494384,0.5917977528089887,-0.4082022471910113,2.8089887640400006e-05,-0.4082303370786517
REL(+),CXXC1(+),0.6741104868913858,-0.04288389513108626,0.5969756554307116,-0.4030243445692884,-0.0010112359550563,-0.40201310861423206
DBP(+),RUNX2(+),0.6798220973782771,-0.037172284644194864,0.6016479400749063,-0.3983520599250937,0.0006179775280899999,-0.3989700374531837
DBP(+),FOXP4(+),0.6752340823970038,-0.041760299625468233,0.5974719101123596,-0.40252808988764044,-0.0015262172284644,-0.40100187265917603
DBP(+),NFATC2(+),0.676123595505618,-0.04087078651685405,0.5983614232209737,-0.40163857677902626,-0.0002340823970037,-0.4014044943820226
DBP(+),SP2(+),0.673876404494382,-0.04311797752808999,0.5972752808988764,-0.4027247191011236,0.00046816479400749997,-0.40319288389513114
DBP(+),CXXC1(+),0.6766385767790262,-0.04035580524344584,0.6000936329588015,-0.39990636704119853,-0.0005711610486892,-0.3993352059925093
RUNX2(+),FOXP4(+),0.6803370786516854,-0.036657303370786654,0.6023595505617977,-0.3976404494382023,-0.00010299625468159998,-0.39753745318352074
RUNX2(+),NFATC2(+),0.6809456928838952,-0.03604868913857684,0.6030992509363297,-0.39690074906367034,0.0011891385767791,-0.39808988764044945
RUNX2(+),SP2(+),0.674250936329588,-0.04274344569288402,0.5958801498127342,-0.4041198501872658,0.0018913857677902999,-0.4060112359550561
RUNX2(+),CXXC1(+),0.6800093632958801,-0.03698501872659188,0.6018632958801499,-0.39813670411985014,0.0008520599250936,-0.3989887640449437
FOXP4(+),NFATC2(+),0.6800093632958801,-0.03698501872659188,0.6020318352059926,-0.39796816479400743,-0.0009550561797752999,-0.3970131086142321
FOXP4(+),SP2(+),0.6794475655430712,-0.037546816479400835,0.601685393258427,-0.39831460674157304,-0.0002528089887641,-0.3980617977528089
FOXP4(+),CXXC1(+),0.6795411985018727,-0.03745318352059934,0.6033988764044944,-0.3966011235955056,-0.0012921348314607999,-0.3953089887640448
NFATC2(+),SP2(+),0.6742041198501872,-0.042790262172284765,0.5951685393258427,-0.4048314606741573,0.0010393258426966,-0.40587078651685393
NFATC2(+),CXXC1(+),0.6762640449438202,-0.04073033707865181,0.5983895131086141,-0.4016104868913859,-9.999054535747565e-17,-0.4016104868913858
SP2(+),CXXC1(+),0.6747659176029963,-0.0422284644194757,0.5964606741573033,-0.4035393258426967,0.0007022471910111,-0.4042415730337078
