regime,rep,auc0,S_auc,S_depth
Complementarity,36,0.8588,-0.02893333333333331,0.16227264465391356
Complementarity,37,0.8792,-0.08026666666666671,-0.09204759952376218
Complementarity,38,0.8890666666666667,0.036133333333333295,0.2176403277694025
Complementarity,39,0.8225333333333333,-0.05933333333333324,0.06858530180223582
Complementarity,40,0.8797333333333333,-0.034399999999999875,0.10454105087799659
Complementarity,41,0.8950666666666667,-0.025200000000000222,0.17504360327693003
Complementarity,42,0.8208,-0.035733333333333284,-0.01627470654021468
Complementarity,43,0.8300000000000001,-0.007600000000000051,0.09049334422486854
Complementarity,44,0.8738666666666667,-0.04293333333333327,0.06209595291359671
Complementarity,45,0.8993333333333333,-0.05159999999999987,0.12950702741855502
Complementarity,46,0.8274666666666666,-0.07573333333333321,-0.10272028829097679
Complementarity,47,0.8650666666666667,-0.07679999999999992,-0.0723138034750197
Complementarity,48,0.9150666666666667,-0.053066666666666706,0.08684346120484177
Complementarity,49,0.8610666666666666,-0.020000000000000018,0.08516254083084918
