TF,target,importance
ZNF528,RASSF3,14.889763083074422
DUS3L,PRMT6,14.888623083229152
KLRG1,PGLYRP2,14.875348669812034
ZNF683,TRAV13-2,14.860444091755603
ZNF800,SETD4,14.826434224768157
R3HDM2,IL15RA,14.815610791796306
EIF5A2,ZNF717,14.783950011767969
ZKSCAN4,LINC00665,14.775815869734435
PHTF1,RP11-262H14.4,14.737039943131844
ZFP90,NEK5,14.73684182341861
ELK3,FLJ37453,14.728493608604074
TOB2,HIST1H3H,14.700471102381723
SP3,ZNF182,14.69967951791579
ZNF394,ANKHD1,14.669035837441431
PHF21A,PIK3R5,14.668980807468104
SP2,DHX40,14.667387327521142
MEOX2,B4GAT1,14.663434379339021
HIST1H2BN,RGP1,14.65315142495615
SNAI3,TARSL2,14.633606135509234
AGAP2,KLHDC4,14.613700137424587
ZHX2,ZKSCAN4,14.6077064784925
ZNF793,ARHGAP44,14.565653220223176
ELF1,MIR646HG,14.553872206786245
KLF2,RP11-291B21.2,14.544831504380443
TOB2,VSTM2L,14.540362689320077
HIST1H2BN,ATG2B,14.53289166529967
EGR2,ZNF672,14.521360486002223
CFL2,HPGDS,14.49880982266081
ZNF652,TOR3A,14.48872031102301
CENPB,ANGEL2,14.487744809554547
PBX4,ARAF,14.485573160368741
TCF7,C16orf95,14.46315249609906
HIST1H2BN,RBM4,14.448096036099225
DBP,SLC29A4,14.44404924572463
E2F5,ORAI3,14.437757053399013
DBP,ZBTB20,14.413936577166336
ZNF341,CEBPE,14.371506478658125
ZBTB43,SERPINC1,14.3506887586988
NFATC2,IFT88,14.332865280891234
U2AF1,IGSF6,14.328574327405423
HOXB2,FRY-AS1,14.28292458333296
ZNF740,FOLR2,14.245522729724376
PBX4,RBM41,14.238764331751991
ZNF407,ARHGEF2,14.232664347973552
ZNF672,ZNF793,14.230975161731049
NR4A1,PARVG,14.229654816031799
CTBP1,AC002467.7,14.225089628747678
ZNF26,CD1E,14.213684963279846
E2F5,EMCN,14.198237896147372
SIN3A,ACSL5,14.194290274609243
R3HDM2,SELO,14.177643948447374
E2F5,EPM2A,14.170440601202861
TOB2,CHAC2,14.153124370429888
REL,CCNT2,14.151942418117244
SPATS2,TTN-AS1,14.150415547916372
EGR2,PDE4B,14.140553857787555
ZNF408,BRCA2,14.098345511114799
ZNF26,PLA2G7,14.090640429007898
ELK3,CD70,14.039464186090864
POU2F1,MAN2A2,14.03314933789921
ZNF781,DPYD,14.00409871351348
FLI1,GOLGA8B,13.993140682474328
KLRG1,NELFB,13.978482144563774
ARFGAP1,TRBV14,13.977722033314729
ZNF407,NSDHL,13.972817611360155
ZNF341,SLC35E4,13.961073941018103
EGR2,SLC38A10,13.856452260137353
R3HDM2,CEACAM21,13.842430790762744
ING3,MOCS3,13.839133806695363
R3HDM2,NCCRP1,13.82944652728286
FANK1,TMEM184C,13.824489427627288
ZNF652,ANKHD1,13.824263000806427
FOXP4,CSNK1G2,13.81514757970428
EOMES,BCDIN3D,13.812981677629608
TRMT1,USP7,13.780198004848657
ZKSCAN4,APLF,13.762036735432313
SPATS2,ACOT8,13.752430081209267
ZNF836,C5orf42,13.740573285084478
KDM4C,APOL2,13.716924524844497
ZNF740,CSNK1G2,13.716741886593194
ZNF652,ZADH2,13.712697790860041
SPATS2,YPEL2,13.668460707039166
HIST1H2BN,RMRP,13.654355381244866
PBX4,CHD6,13.628628972331912
SPATS2,LTV1,13.62002252408569
ZNF626,LINC01355,13.597251345025946
OTX2,KIF5C,13.596631988623576
ETS1,MYH11,13.585423460276076
ZNF626,NRBF2,13.57996652137591
E2F5,LSM12,13.579499522690469
ZNF26,CCDC94,13.573659938265571
RUNX3,MARCH9,13.57099439909196
EGR2,ZNF793,13.567655736197446
CENPB,NUP58,13.560531603604868
ZFP14,MAN1A2,13.546405013738953
ZHX2,LINC00665,13.542793506120768
ZNF33B,CLDND2,13.527351640494404
CENPB,PCBP4,13.525270027022207
ZNF276,RP11-182L21.6,13.518738345756857
NR4A1,GNG11,13.47679020642491
ZBTB49,RBM43,13.46981427398058
ELK3,MYB,13.45684971716621
ZNF652,HEXDC,13.445822962042904
ZNF528,DPEP2,13.439695958244144
NR4A1,LINC00685,13.438312646427843
RBBP5,PTN,13.432283136504001
HIST1H2BN,SLC35D2,13.41396518912396
ING3,KRT15,13.406546316127006
ZBTB49,NSUN3,13.40297704950154
ZNF33A,FAM217B,13.399017980411712
ZNF600,TBK1,13.397687350426814
ELK3,STK11,13.362466336401937
NR4A1,LSM12,13.343036233363835
ELF1,LINC01355,13.34266808610535
ZNF195,FAM135A,13.322828300648377
HIST1H2BN,KBTBD3,13.311163623119285
ZNF700,ZNF512,13.294371629418949
NFATC2,FAM78A,13.264506706541676
SPATS2,NCCRP1,13.246080850021789
ZNF430,ST3GAL2,13.23728110230729
PBX4,ZNF567,13.230289517616463
ZNF451,MAPK9,13.21097342087418
ZNF552,CTSS,13.202107756935987
ARFGAP1,CARNMT1,13.199922964618429
ZNF184,STT3A,13.174795296796177
ZZZ3,PROCA1,13.161470576764046
RNF138,TMEM87B,13.152345422434658
CENPB,TIMM23B,13.14777572425171
KLRG1,RP11-262H14.4,13.130382700885617
HIST1H2BN,TNIK,13.124178833356456
CFL2,INPP4A,13.092192782818797
FOSB,CD1C,12.991531019286262
MTERF1,AFG3L2,12.988869400677864
FOSB,ZNF26,12.969995498373464
MTERF1,RBM4B,12.963222045224734
ZFP14,HSD17B7,12.95013296899597
MBD1,UBR5,12.945722380696726
ZNF683,TAF8,12.926276657851242
WRNIP1,MAPK9,12.921616516629808
NFATC2,IFT74,12.91928177499465
ZNF781,GRAP,12.91559761649976
ZNF407,CCL2,12.899581304736847
E2F5,N4BP2,12.897310299629874
PPP1R10,RP11-443B7.2,12.89339289168278
ZNF195,UBR5,12.885236647339173
CXXC1,CDK13,12.865581724761538
HOXB2,SLC12A2,12.857426320669912
NPDC1,FRAT2,12.851882805419935
ZNF626,HCFC1-AS1,12.827389667319368
NFATC1,NUDT17,12.788625531614883
NPDC1,QRSL1,12.7864137000753
RNF138,CDNF,12.762497051635455
